 ,X,Y,Length
1,576,110,3.030
2,576,112,3.030
3,576,114,3.030
4,576,116,4.285
5,578,118,3.030
6,578,120,3.030
7,578,122,4.285
8,580,124,3.030
9,580,126,3.030
10,580,128,4.285
11,582,130,3.030
12,582,132,3.030
13,582,134,4.285
14,584,136,6.061
15,584,140,3.030
16,584,142,4.285
17,586,144,3.030
18,586,146,3.030
19,586,148,3.030
20,586,150,4.285
21,588,152,3.030
22,588,154,3.030
23,588,156,3.030
24,588,158,4.285
25,590,160,3.030
26,590,162,3.030
27,590,164,3.030
28,590,166,3.030
29,590,168,3.030
30,592,168,3.030
31,592,170,3.030
32,592,172,3.030
33,592,174,3.030
34,594,174,3.030
35,594,176,3.030
36,594,178,3.030
37,594,180,4.285
38,596,182,3.030
39,596,184,3.030
40,596,186,3.030
41,596,188,3.030
42,598,188,3.030
43,598,190,3.030
44,598,192,4.285
45,600,194,3.030
46,600,196,3.030
47,600,198,3.030
48,602,198,3.030
49,602,200,3.030
50,602,202,4.285
51,604,204,3.030
52,604,206,3.030
53,604,208,4.285
54,606,210,3.030
55,606,212,3.030
56,606,214,4.285
57,608,216,3.030
58,608,218,3.030
59,608,220,3.030
60,610,220,3.030
61,610,222,3.030
62,610,224,3.030
63,612,224,3.030
64,612,226,3.030
65,612,228,3.030
66,614,228,3.030
67,614,230,3.030
68,614,232,4.285
69,616,234,3.030
70,616,236,4.285
71,618,238,3.030
72,618,240,3.030
73,618,242,3.030
74,618,244,3.030
75,618,246,3.030
76,620,246,3.030
77,620,248,3.030
78,620,250,3.030
79,620,252,4.285
80,622,254,3.030
81,622,256,3.030
82,622,258,3.030
83,624,258,3.030
84,624,260,3.030
85,624,262,3.030
86,624,264,4.285
87,626,266,3.030
88,626,268,4.285
89,628,270,3.030
90,628,272,4.285
91,630,274,3.030
92,630,276,4.285
93,632,278,3.030
94,632,280,3.030
95,634,280,3.030
96,634,282,3.030
97,634,284,3.030
98,636,284,3.030
99,636,286,3.030
100,636,288,3.030
101,638,288,3.030
102,638,290,3.030
103,640,290,3.030
104,640,292,3.030
105,640,294,3.030
106,642,294,3.030
107,642,296,4.285
108,644,298,3.030
109,644,300,3.030
110,646,300,3.030
111,646,302,4.285
112,648,304,4.285
113,650,306,3.030
114,650,308,3.030
115,652,308,3.030
116,652,310,3.030
117,652,312,3.030
118,654,312,3.030
119,654,314,3.030
120,656,314,3.030
121,656,316,3.030
122,656,318,3.030
123,658,318,3.030
124,658,320,4.285
125,660,322,4.285
126,662,324,3.030
127,662,326,3.030
128,664,326,3.030
129,664,328,3.030
130,666,328,3.030
131,666,330,4.285
132,668,332,4.285
133,670,334,3.030
134,670,336,3.030
135,672,336,3.030
136,672,338,3.030
137,674,338,3.030
138,674,340,4.285
139,676,342,4.285
140,678,344,3.030
141,678,346,3.030
142,680,346,3.030
143,680,348,3.030
144,682,348,3.030
145,682,350,4.285
146,684,352,3.030
147,684,354,3.030
148,686,354,3.030
149,686,356,3.030
150,686,358,3.030
151,688,358,3.030
152,688,360,4.285
153,690,362,3.030
154,690,364,3.030
155,690,366,3.030
156,692,366,3.030
157,692,368,3.030
158,694,368,3.030
159,694,370,3.030
160,694,372,4.285
161,696,374,3.030
162,696,376,4.285
163,698,378,3.030
164,698,380,3.030
165,700,380,3.030
166,700,382,3.030
167,700,384,3.030
168,702,384,3.030
169,702,386,3.030
170,702,388,4.285
171,704,390,3.030
172,704,392,3.030
173,706,392,3.030
174,706,394,3.030
175,706,396,4.285
176,708,398,3.030
177,708,400,4.285
178,710,402,3.030
179,710,404,3.030
180,710,406,3.030
181,712,406,3.030
182,712,408,3.030
183,712,410,3.030
184,714,410,3.030
185,714,412,3.030
186,714,414,3.030
187,714,416,3.030
188,716,416,3.030
189,716,418,3.030
190,716,420,3.030
191,718,420,3.030
192,718,422,3.030
193,718,424,4.285
194,720,426,3.030
195,720,428,4.285
196,722,430,3.030
197,722,432,4.285
198,724,434,3.030
199,724,436,4.285
200,726,438,3.030
201,726,440,3.030
202,726,442,3.030
203,728,442,3.030
204,728,444,3.030
205,728,446,3.030
206,728,448,3.030
207,730,448,3.030
208,730,450,3.030
209,730,452,4.285
210,732,454,3.030
211,732,456,3.030
