 ,Position,Intensity
1,0.000,15.055
2,1.515,15.520
3,3.030,14.688
4,4.545,13.966
5,6.061,14.212
6,7.576,13.754
7,9.091,13.893
8,10.606,13.115
9,12.121,13.638
10,13.636,13.041
11,15.152,13.229
12,16.667,13.017
13,18.182,13.127
14,19.697,12.792
15,21.212,12.616
16,22.727,12.278
17,24.242,12.278
18,25.758,12.062
19,27.273,11.352
20,28.788,12.161
21,30.303,11.304
22,31.818,11.241
23,33.333,10.907
24,34.848,11.237
25,36.364,11.223
26,37.879,10.942
27,39.394,10.879
28,40.909,10.988
29,42.424,10.827
30,43.939,10.649
31,45.455,10.717
32,46.970,10.919
33,48.485,10.962
34,50.000,10.977
35,51.515,10.860
36,53.030,10.600
37,54.545,10.659
38,56.061,10.441
39,57.576,10.729
40,59.091,11.028
41,60.606,11.114
42,62.121,10.689
43,63.636,11.202
44,65.152,12.006
45,66.667,11.292
46,68.182,11.272
47,69.697,11.689
48,71.212,12.086
49,72.727,13.783
50,74.242,12.626
51,75.758,12.364
52,77.273,13.014
53,78.788,12.629
54,80.303,12.779
55,81.818,12.584
56,83.333,12.739
57,84.848,12.205
58,86.364,11.521
59,87.879,11.916
60,89.394,12.219
61,90.909,12.572
62,92.424,11.635
63,93.939,11.116
64,95.455,11.245
65,96.970,10.910
66,98.485,10.508
67,100.000,10.820
68,101.515,10.782
69,103.030,10.689
70,104.545,10.995
71,106.061,10.511
72,107.576,10.680
73,109.091,10.911
74,110.606,11.150
75,112.121,11.127
76,113.636,11.143
77,115.152,10.561
78,116.667,10.542
79,118.182,10.706
80,119.697,10.961
81,121.212,10.902
82,122.727,11.004
83,124.242,11.143
84,125.758,10.955
85,127.273,10.952
86,128.788,11.186
87,130.303,11.002
88,131.818,11.281
89,133.333,11.073
90,134.848,11.113
91,136.364,11.149
92,137.879,11.203
93,139.394,11.385
94,140.909,10.918
95,142.424,11.105
96,143.939,11.304
97,145.455,10.648
98,146.970,10.844
99,148.485,10.843
100,150.000,10.611
101,151.515,10.303
102,153.030,10.197
103,154.545,10.697
104,156.061,10.226
105,157.576,10.466
106,159.091,10.676
107,160.606,10.097
108,162.121,10.346
109,163.636,10.263
110,165.152,9.669
111,166.667,10.125
112,168.182,9.887
113,169.697,9.615
114,171.212,9.445
115,172.727,9.603
116,174.242,9.264
117,175.758,9.555
118,177.273,9.353
119,178.788,9.533
120,180.303,8.696
121,181.818,8.758
122,183.333,8.902
123,184.848,8.859
124,186.364,8.582
125,187.879,8.086
126,189.394,8.149
127,190.909,8.176
128,192.424,7.952
129,193.939,7.886
130,195.455,7.828
131,196.970,7.755
132,198.485,7.808
133,200.000,8.379
134,201.515,8.205
135,203.030,7.790
136,204.545,7.667
137,206.061,7.890
138,207.576,7.999
139,209.091,8.038
140,210.606,8.096
141,212.121,8.549
142,213.636,7.988
143,215.152,7.679
144,216.667,8.080
145,218.182,8.041
146,219.697,7.859
147,221.212,7.844
148,222.727,7.814
149,224.242,7.823
150,225.758,7.412
151,227.273,7.938
152,228.788,7.571
153,230.303,7.835
154,231.818,7.706
155,233.333,8.081
156,234.848,7.393
157,236.364,7.194
158,237.879,7.434
159,239.394,7.297
160,240.909,7.338
161,242.424,7.341
162,243.939,7.199
163,245.455,7.254
164,246.970,7.204
165,248.485,7.427
166,250.000,7.099
167,251.515,7.399
168,253.030,7.295
169,254.545,7.251
170,256.061,7.075
171,257.576,7.194
172,259.091,7.230
173,260.606,7.036
174,262.121,7.294
175,263.636,7.313
176,265.152,7.485
177,266.667,7.118
178,268.182,7.190
179,269.697,7.437
180,271.212,7.120
181,272.727,7.447
182,274.242,7.359
183,275.758,7.311
184,277.273,7.265
185,278.788,7.448
186,280.303,7.629
187,281.818,7.433
188,283.333,7.845
189,284.848,7.855
190,286.364,7.484
191,287.879,7.649
192,289.394,7.498
193,290.909,7.777
194,292.424,7.938
195,293.939,7.950
196,295.455,8.077
197,296.970,7.669
198,298.485,7.665
199,300.000,8.175
200,301.515,8.261
201,303.030,8.116
202,304.545,8.273
203,306.061,8.157
204,307.576,8.217
205,309.091,7.840
206,310.606,7.818
207,312.121,8.156
208,313.636,8.122
209,315.152,7.934
210,316.667,8.169
211,318.182,8.035
212,319.697,8.206
213,321.212,7.811
214,322.727,7.958
215,324.242,7.748
216,325.758,8.047
217,327.273,7.839
218,328.788,7.887
219,330.303,7.543
220,331.818,7.798
221,333.333,7.674
222,334.848,8.104
223,336.364,7.895
224,337.879,8.267
225,339.394,7.564
226,340.909,7.508
227,342.424,7.283
228,343.939,7.502
229,345.455,7.572
230,346.970,7.688
231,348.485,7.589
232,350.000,7.008
233,351.515,7.167
234,353.030,6.960
235,354.545,7.039
236,356.061,7.183
237,357.576,7.302
238,359.091,7.350
239,360.606,7.379
240,362.121,6.877
241,363.636,6.939
242,365.152,6.963
243,366.667,7.311
244,368.182,7.206
245,369.697,7.252
246,371.212,6.899
247,372.727,7.021
248,374.242,7.203
249,375.758,7.365
250,377.273,7.195
251,378.788,7.419
252,380.303,7.845
253,381.818,7.639
254,383.333,7.188
255,384.848,7.130
256,386.364,7.171
257,387.879,10.682
258,389.394,11.668
259,390.909,8.029
260,392.424,7.920
261,393.939,8.035
262,395.455,18.382
263,396.970,23.086
264,398.485,12.338
265,400.000,11.246
266,401.515,22.249
267,403.030,15.421
268,404.545,12.041
269,406.061,13.461
270,407.576,35.513
271,409.091,12.916
272,410.606,11.990
273,412.121,9.013
274,413.636,7.671
275,415.152,7.508
276,416.667,9.470
277,418.182,8.661
278,419.697,7.078
279,421.212,6.924
280,422.727,7.493
281,424.242,7.163
282,425.758,7.414
283,427.273,6.969
284,428.788,7.049
285,430.303,7.482
286,431.818,7.349
287,433.333,7.078
288,434.848,6.782
289,436.364,7.212
290,437.879,7.071
291,439.394,7.202
292,440.909,7.356
293,442.424,7.530
294,443.939,6.853
295,445.455,7.082
296,446.970,7.312
297,448.485,7.145
298,450.000,7.338
299,451.515,7.141
300,453.030,7.428
301,454.545,7.048
302,456.061,7.069
303,457.576,7.017
304,459.091,6.882
305,460.606,7.414
306,462.121,6.882
307,463.636,7.035
308,465.152,6.786
309,466.667,6.992
310,468.182,7.015
311,469.697,7.070
312,471.212,6.957
313,472.727,7.118
314,474.242,7.021
315,475.758,6.800
316,477.273,7.003
317,478.788,7.026
318,480.303,7.177
319,481.818,7.261
320,483.333,7.291
321,484.848,6.860
322,486.364,6.725
323,487.879,7.951
324,489.394,8.052
325,490.909,6.783
326,492.424,6.829
327,493.939,7.277
328,495.455,6.957
329,496.970,7.234
330,498.485,7.478
331,500.000,7.290
332,501.515,7.087
333,503.030,7.070
334,504.545,7.357
335,506.061,7.462
336,507.576,8.089
337,509.091,7.272
338,510.606,7.281
339,512.121,7.291
340,513.636,7.131
341,515.151,7.111
342,516.667,7.045
343,518.182,7.181
344,519.697,7.162
345,521.212,7.110
346,522.727,7.130
347,524.242,7.082
348,525.758,7.048
349,527.273,7.095
350,528.788,7.079
351,530.303,6.706
352,531.818,6.975
353,533.333,6.931
354,534.849,6.932
355,536.364,6.917
356,537.879,6.896
357,539.394,6.891
358,540.909,6.951
359,542.424,6.760
360,543.939,6.780
361,545.455,6.770
362,546.970,6.974
363,548.485,6.479
364,550.000,6.666
365,551.515,6.617
366,553.030,6.562
367,554.545,6.444
368,556.061,6.451
369,557.576,6.879
370,559.091,6.784
371,560.606,6.538
372,562.121,6.419
373,563.636,6.558
374,565.151,6.693
375,566.667,6.653
376,568.182,6.539
377,569.697,6.292
378,571.212,6.702
379,572.727,6.498
380,574.242,6.734
381,575.758,6.516
382,577.273,6.679
383,578.788,6.751
384,580.303,6.691
385,581.818,6.834
386,583.333,6.749
387,584.849,6.570
388,586.364,6.682
389,587.879,8.199
390,589.394,9.452
391,590.909,10.908
392,592.424,9.157
393,593.939,14.551
394,595.455,12.125
395,596.970,11.144
396,598.485,8.955
397,600.000,7.227
398,601.515,11.733
399,603.030,13.995
400,604.545,11.551
401,606.061,13.232
402,607.576,7.243
403,609.091,17.224
404,610.606,9.685
405,612.121,9.411
406,613.636,15.388
407,615.151,16.572
408,616.667,8.356
409,618.182,7.485
410,619.697,8.204
411,621.212,7.138
412,622.727,7.088
413,624.242,10.233
414,625.758,10.021
415,627.273,10.482
416,628.788,9.024
417,630.303,9.581
418,631.818,12.128
419,633.333,13.548
420,634.849,15.826
421,636.364,12.190
422,637.879,11.598
423,639.394,11.110
424,640.909,10.104
425,642.424,11.760
426,643.939,9.712
427,645.455,18.948
428,646.970,13.913
429,648.485,17.493
430,650.000,10.775
431,651.515,23.052
432,653.030,13.410
433,654.545,10.001
434,656.061,13.975
435,657.576,24.129
436,659.091,8.258
437,660.606,11.316
438,662.121,12.614
439,663.636,17.765
440,665.151,9.841
441,666.667,10.587
442,668.182,8.203
443,669.697,8.958
444,671.212,11.255
445,672.727,13.059
446,674.242,13.923
447,675.758,8.778
448,677.273,11.017
449,678.788,20.281
450,680.303,17.964
451,681.818,9.876
452,683.333,16.528
453,684.849,10.079
454,686.364,17.132
455,687.879,10.144
456,689.394,7.948
457,690.909,8.213
458,692.424,9.606
459,693.939,7.541
460,695.455,8.770
461,696.970,7.696
462,698.485,8.037
463,700.000,9.159
464,701.515,7.766
465,703.030,8.272
466,704.545,8.042
467,706.061,7.785
468,707.576,8.065
469,709.091,7.247
470,710.606,7.213
471,712.121,7.824
472,713.636,7.431
473,715.151,7.399
474,716.667,7.442
475,718.182,7.660
476,719.697,7.860
477,721.212,7.585
478,722.727,7.297
479,724.242,8.317
480,725.758,7.910
481,727.273,9.881
482,728.788,8.441
483,730.303,8.509
484,731.818,7.636
485,733.333,7.910
486,734.849,7.632
487,736.364,12.308
488,737.879,7.448
489,739.394,7.718
490,740.909,7.457
491,742.424,7.666
492,743.939,7.215
493,745.455,7.578
494,746.970,13.859
495,748.485,9.975
496,750.000,11.672
497,751.515,8.851
498,753.030,7.530
499,754.545,10.672
500,756.061,8.993
501,757.576,10.235
502,759.091,11.717
503,760.606,8.789
504,762.121,7.078
505,763.636,7.165
506,765.151,9.330
507,766.667,7.352
508,768.182,7.004
509,769.697,6.950
510,771.212,7.077
511,772.727,7.577
512,774.242,6.824
513,775.758,6.852
514,777.273,7.296
515,778.788,8.470
516,780.303,7.571
517,781.818,16.339
518,783.333,9.380
519,784.849,6.764
520,786.364,8.856
521,787.879,8.151
522,789.394,7.312
523,790.909,8.943
524,792.424,8.765
525,793.939,7.483
526,795.455,6.881
527,796.970,10.077
528,798.485,7.831
529,800.000,8.863
530,801.515,12.653
531,803.030,7.066
532,804.545,14.187
533,806.061,13.452
534,807.576,10.019
535,809.091,17.717
536,810.606,11.905
537,812.121,13.382
538,813.636,22.240
539,815.151,11.499
540,816.667,14.132
541,818.182,29.958
542,819.697,24.646
543,821.212,22.615
544,822.727,28.048
545,824.242,15.222
546,825.758,19.287
547,827.273,12.480
548,828.788,19.817
549,830.303,14.303
550,831.818,13.714
551,833.333,14.259
552,834.849,16.200
553,836.364,19.416
554,837.879,7.141
555,839.394,9.622
556,840.909,10.117
557,842.424,8.729
558,843.939,11.432
559,845.455,8.969
560,846.970,14.069
561,848.485,11.153
562,850.000,16.391
563,851.515,8.112
564,853.030,10.229
565,854.545,12.622
566,856.061,15.930
567,857.576,13.485
568,859.091,10.339
569,860.606,13.073
570,862.121,15.619
571,863.636,14.704
572,865.151,9.941
573,866.667,9.821
574,868.182,12.112
575,869.697,16.775
576,871.212,7.873
577,872.727,9.599
578,874.242,7.412
579,875.758,9.159
580,877.273,10.232
581,878.788,6.821
582,880.303,7.463
583,881.818,8.003
584,883.333,11.699
585,884.849,12.251
586,886.364,7.571
587,887.879,9.061
588,889.394,11.287
589,890.909,10.645
590,892.424,9.585
591,893.939,8.648
592,895.455,11.100
593,896.970,8.881
594,898.485,7.180
595,900.000,8.134
596,901.515,9.236
597,903.030,7.914
598,904.545,8.789
599,906.061,9.654
600,907.576,11.221
601,909.091,14.307
602,910.606,12.671
603,912.121,10.427
604,913.636,9.753
605,915.151,7.977
606,916.667,7.804
607,918.182,7.486
608,919.697,6.980
609,921.212,6.702
610,922.727,7.058
611,924.242,8.088
612,925.758,8.663
613,927.273,6.785
614,928.788,7.042
615,930.303,6.640
616,931.818,7.508
617,933.333,8.398
618,934.849,10.187
619,936.364,8.600
620,937.879,8.091
621,939.394,10.354
622,940.909,8.483
623,942.424,6.404
624,943.939,8.067
625,945.455,7.288
626,946.970,9.328
627,948.485,6.410
628,950.000,6.697
629,951.515,7.569
630,953.030,6.946
631,954.545,7.653
632,956.061,7.595
633,957.576,7.935
634,959.091,7.092
635,960.606,6.776
636,962.121,6.373
637,963.636,8.446
638,965.151,6.553
639,966.667,6.064
640,968.182,6.385
641,969.697,11.684
642,971.212,9.543
643,972.727,7.145
644,974.242,6.768
645,975.758,6.787
646,977.273,8.401
647,978.788,8.194
648,980.303,8.247
649,981.818,8.140
650,983.333,6.924
651,984.849,7.577
652,986.364,7.130
653,987.879,9.079
654,989.394,9.726
655,990.909,9.181
656,992.424,7.213
657,993.939,11.961
658,995.455,9.776
659,996.970,12.219
660,998.485,15.297
661,1000.000,10.481
662,1001.515,11.891
663,1003.030,11.064
664,1004.545,15.647
665,1006.061,10.147
666,1007.576,12.205
667,1009.091,10.741
668,1010.606,10.499
669,1012.121,8.524
670,1013.636,9.723
671,1015.151,7.854
672,1016.667,12.954
673,1018.182,9.344
674,1019.697,10.283
675,1021.212,7.083
676,1022.727,7.340
677,1024.242,7.620
678,1025.758,8.635
679,1027.273,9.909
680,1028.788,7.496
681,1030.303,8.150
682,1031.818,8.048
683,1033.333,6.766
684,1034.849,6.550
685,1036.364,6.752
686,1037.879,8.954
687,1039.394,9.427
688,1040.909,6.841
689,1042.424,6.421
690,1043.939,6.420
691,1045.455,8.598
692,1046.970,6.238
693,1048.485,7.610
694,1050.000,6.763
695,1051.515,8.517
696,1053.030,9.762
697,1054.545,9.707
698,1056.061,8.572
699,1057.576,9.367
700,1059.091,8.700
701,1060.606,9.179
702,1062.121,12.549
703,1063.636,12.610
704,1065.151,10.575
705,1066.667,14.451
706,1068.182,14.709
707,1069.697,15.968
708,1071.212,16.889
709,1072.727,15.264
710,1074.242,21.299
711,1075.758,20.665
712,1077.273,17.029
713,1078.788,15.168
714,1080.303,16.892
715,1081.818,18.939
716,1083.333,17.348
717,1084.849,19.191
718,1086.364,19.261
719,1087.879,20.296
720,1089.394,19.711
721,1090.909,20.840
722,1092.424,22.370
723,1093.939,20.971
724,1095.455,18.771
725,1096.970,19.122
726,1098.485,20.238
727,1100.000,20.198
728,1101.515,20.847
729,1103.030,20.377
730,1104.545,23.530
731,1106.061,23.632
732,1107.576,20.860
733,1109.091,22.160
734,1110.606,21.425
735,1112.121,25.441
736,1113.636,23.209
737,1115.151,24.108
738,1116.667,22.591
739,1118.182,24.839
740,1119.697,23.455
741,1121.212,23.896
742,1122.727,19.101
743,1124.242,19.570
744,1125.758,20.018
745,1127.273,18.634
746,1128.788,18.642
747,1130.303,19.046
748,1131.818,19.522
749,1133.333,20.391
750,1134.849,19.908
751,1136.364,20.393
752,1137.879,19.714
753,1139.394,17.419
754,1140.909,21.208
755,1142.424,20.180
756,1143.939,20.617
757,1145.455,21.978
758,1146.970,23.331
759,1148.485,23.978
760,1150.000,24.170
761,1151.515,23.907
762,1153.030,18.169
763,1154.545,20.312
764,1156.061,21.939
765,1157.576,24.902
766,1159.091,24.150
767,1160.606,26.115
768,1162.121,21.604
769,1163.636,19.143
770,1165.151,23.695
771,1166.667,20.569
772,1168.182,19.511
773,1169.697,18.658
774,1171.212,21.396
775,1172.727,21.527
776,1174.242,18.398
777,1175.758,15.463
778,1177.273,15.006
779,1178.788,15.180
