 ,X,Y,Length
1,418,86,3.030
2,418,88,4.285
3,420,90,4.285
4,422,92,3.030
5,422,94,4.285
6,424,96,4.285
7,426,98,3.030
8,428,98,3.030
9,428,100,3.030
10,428,102,3.030
11,430,102,3.030
12,430,104,3.030
13,432,104,3.030
14,432,106,4.285
15,434,108,4.285
16,436,110,4.285
17,438,112,3.030
18,438,114,4.285
19,440,116,3.030
20,442,116,3.030
21,442,118,4.285
22,444,120,3.030
23,444,122,3.030
24,446,122,3.030
25,446,124,4.285
26,448,126,4.285
27,450,128,4.285
28,452,130,4.285
29,454,132,4.285
30,456,134,3.030
31,458,134,4.285
32,460,136,4.285
33,462,138,4.285
34,464,140,3.030
35,466,140,4.285
36,468,142,3.030
37,468,144,4.285
38,470,146,4.285
39,472,148,4.285
40,474,150,3.030
41,474,152,3.030
42,476,152,3.030
43,476,154,4.285
44,478,156,3.030
45,478,158,3.030
46,480,158,3.030
47,480,160,4.285
48,482,162,3.030
49,484,162,3.030
50,484,164,4.285
51,486,166,3.030
52,486,168,4.285
53,488,170,4.285
54,490,172,4.285
55,492,174,4.285
56,494,176,6.776
57,496,180,4.285
58,498,182,4.285
59,500,184,4.285
60,502,186,4.285
61,504,188,4.285
62,506,190,4.285
63,508,192,6.776
64,510,196,3.030
65,510,198,4.285
66,512,200,4.285
67,514,202,3.030
68,514,204,4.285
69,516,206,3.030
70,516,208,4.285
71,518,210,3.030
72,518,212,3.030
73,518,214,4.285
74,520,216,4.285
75,522,218,3.030
76,522,220,3.030
77,522,222,3.030
78,524,222,3.030
79,524,224,3.030
80,524,226,3.030
81,526,226,3.030
82,526,228,4.285
83,528,230,3.030
84,528,232,4.285
85,530,234,3.030
86,530,236,3.030
87,532,236,3.030
88,532,238,3.030
89,534,238,3.030
90,534,240,4.285
91,536,242,3.030
92,536,244,3.030
93,538,244,3.030
94,538,246,3.030
95,540,246,3.030
96,540,248,3.030
97,542,248,3.030
98,542,250,4.285
99,544,252,3.030
100,546,252,3.030
101,546,254,4.285
102,548,256,4.285
103,550,258,3.030
104,550,260,3.030
105,552,260,4.285
106,554,262,4.285
107,556,264,4.285
108,558,266,4.285
109,560,268,4.285
110,562,270,3.030
111,562,272,3.030
112,564,272,3.030
113,564,274,3.030
114,566,274,3.030
115,566,276,3.030
116,568,276,4.285
117,570,278,3.030
118,570,280,4.285
119,572,282,4.285
120,574,284,3.030
121,574,286,3.030
122,576,286,4.285
123,578,288,3.030
124,578,290,3.030
125,580,290,3.030
126,580,292,4.285
127,582,294,4.285
128,584,296,3.030
129,584,298,3.030
130,586,298,3.030
131,586,300,3.030
132,588,300,3.030
133,588,302,4.285
134,590,304,3.030
135,590,306,4.285
136,592,308,4.285
137,594,310,3.030
138,594,312,3.030
139,596,312,3.030
140,596,314,4.285
141,598,316,3.030
142,600,316,3.030
143,600,318,3.030
144,600,320,3.030
145,602,320,3.030
146,602,322,4.285
147,604,324,3.030
148,606,324,3.030
149,606,326,4.285
150,608,328,4.285
151,610,330,3.030
152,610,332,3.030
153,612,332,4.285
154,614,334,4.285
155,616,336,3.030
156,616,338,3.030
157,618,338,3.030
158,618,340,3.030
159,620,340,3.030
160,620,342,3.030
161,622,342,3.030
162,622,344,3.030
163,624,344,3.030
164,624,346,3.030
165,626,346,3.030
166,626,348,3.030
167,628,348,4.285
168,630,350,3.030
169,630,352,3.030
170,632,352,3.030
171,632,354,3.030
172,634,354,3.030
173,634,356,4.285
174,636,358,3.030
175,636,360,3.030
176,638,360,3.030
177,638,362,3.030
178,640,362,3.030
179,640,364,3.030
180,642,364,3.030
181,642,366,3.030
182,644,366,3.030
183,644,368,3.030
184,646,368,3.030
185,646,370,4.285
186,648,372,4.285
187,650,374,3.030
188,650,376,3.030
189,652,376,3.030
190,652,378,3.030
191,654,378,3.030
192,654,380,3.030
193,656,380,3.030
194,656,382,3.030
195,658,382,3.030
196,658,384,3.030
197,660,384,3.030
198,660,386,3.030
199,662,386,4.285
200,664,388,4.285
201,666,390,4.285
202,668,392,3.030
203,670,392,3.030
204,670,394,3.030
205,672,394,4.285
206,674,396,3.030
207,676,396,4.285
208,678,398,4.285
209,680,400,3.030
210,682,400,3.030
211,682,402,3.030
212,684,402,4.285
213,686,404,4.285
214,688,406,3.030
215,690,406,4.285
216,692,408,3.030
217,694,408,3.030
218,694,410,4.285
219,696,412,3.030
220,698,412,3.030
221,698,414,3.030
222,700,414,3.030
223,700,416,3.030
224,702,416,3.030
225,702,418,3.030
226,704,418,4.285
227,706,420,4.285
228,708,422,3.030
229,710,422,3.030
230,710,424,3.030
231,712,424,4.285
232,714,426,3.030
233,714,428,3.030
234,714,430,3.030
235,716,430,3.030
236,718,430,3.030
237,720,430,3.030
238,722,430,3.030
239,724,430,3.030
240,726,430,3.030
241,728,430,3.030
242,730,430,3.030
243,732,430,3.030
244,734,430,3.030
245,736,430,3.030
246,738,430,4.285
247,740,432,3.030
248,742,432,4.285
249,744,434,3.030
250,746,434,3.030
251,746,436,3.030
252,748,436,4.285
253,750,438,3.030
254,752,438,3.030
255,752,440,3.030
256,754,440,3.030
257,754,442,3.030
258,756,442,3.030
259,756,444,3.030
260,758,444,3.030
261,758,446,3.030
262,760,446,4.285
263,762,448,4.285
264,764,450,3.030
265,766,450,3.030
266,766,452,3.030
267,768,452,3.030
268,768,454,3.030
269,770,454,3.030
