 ,Position,Intensity
1,0.000,14.439
2,1.515,15.022
3,3.030,15.161
4,4.545,14.177
5,6.061,14.096
6,7.576,13.940
7,9.091,15.214
8,10.606,14.914
9,12.121,14.123
10,13.636,14.486
11,15.152,14.179
12,16.667,14.270
13,18.182,14.501
14,19.697,13.895
15,21.212,13.783
16,22.727,13.260
17,24.242,13.276
18,25.758,12.734
19,27.273,13.188
20,28.788,12.619
21,30.303,12.819
22,31.818,12.728
23,33.333,12.437
24,34.848,12.182
25,36.364,11.964
26,37.879,11.519
27,39.394,12.433
28,40.909,12.913
29,42.424,12.092
30,43.939,12.065
31,45.455,12.386
32,46.970,11.813
33,48.485,11.651
34,50.000,11.904
35,51.515,12.130
36,53.030,12.417
37,54.545,12.271
38,56.061,13.122
39,57.576,12.853
40,59.091,11.994
41,60.606,11.643
42,62.121,11.655
43,63.636,13.103
44,65.152,12.334
45,66.667,12.884
46,68.182,12.133
47,69.697,14.648
48,71.212,12.330
49,72.727,12.943
50,74.242,16.183
51,75.758,14.426
52,77.273,12.108
53,78.788,16.266
54,80.303,15.492
55,81.818,14.176
56,83.333,18.456
57,84.848,14.879
58,86.364,10.911
59,87.879,17.058
60,89.394,19.676
61,90.909,12.947
62,92.424,15.105
63,93.939,13.740
64,95.455,10.326
65,96.970,10.565
66,98.485,12.475
67,100.000,11.348
68,101.515,14.767
69,103.030,12.187
70,104.545,10.284
71,106.061,10.703
72,107.576,10.486
73,109.091,11.761
74,110.606,11.392
75,112.121,8.984
76,113.636,9.858
77,115.152,8.821
78,116.667,8.968
79,118.182,8.771
80,119.697,9.702
81,121.212,9.414
82,122.727,8.028
83,124.242,8.253
84,125.758,8.683
85,127.273,9.604
86,128.788,8.149
87,130.303,8.699
88,131.818,7.954
89,133.333,9.102
90,134.848,8.461
91,136.364,9.229
92,137.879,9.890
93,139.394,8.816
94,140.909,8.962
95,142.424,10.069
96,143.939,9.687
97,145.455,9.575
98,146.970,9.595
99,148.485,9.608
100,150.000,9.704
101,151.515,9.389
102,153.030,9.427
103,154.545,9.315
104,156.061,9.256
105,157.576,9.367
106,159.091,9.219
107,160.606,8.550
108,162.121,8.570
109,163.636,8.493
110,165.152,8.613
111,166.667,8.645
112,168.182,8.518
113,169.697,8.589
114,171.212,8.176
115,172.727,8.069
116,174.242,7.713
117,175.758,8.596
118,177.273,8.476
119,178.788,8.742
120,180.303,8.670
121,181.818,8.966
122,183.333,8.762
123,184.848,8.651
124,186.364,8.666
125,187.879,8.533
126,189.394,8.723
127,190.909,9.013
128,192.424,8.892
129,193.939,9.166
130,195.455,8.994
131,196.970,9.226
132,198.485,8.753
133,200.000,8.875
134,201.515,8.875
135,203.030,8.747
136,204.545,8.440
137,206.061,8.803
138,207.576,8.807
139,209.091,8.465
140,210.606,8.510
141,212.121,8.463
