 ,Position,Intensity
1,0.000,10.276
2,1.515,9.957
3,3.030,10.103
4,4.545,10.405
5,6.061,10.618
6,7.576,10.910
7,9.091,11.366
8,10.606,14.944
9,12.121,14.187
10,13.636,14.829
11,15.152,12.037
12,16.667,12.735
13,18.182,15.167
14,19.697,15.841
15,21.212,14.094
16,22.727,11.897
17,24.242,12.463
18,25.758,14.881
19,27.273,15.850
20,28.788,13.510
21,30.303,14.731
22,31.818,15.847
23,33.333,15.098
24,34.848,15.007
25,36.364,13.197
26,37.879,10.671
27,39.394,10.334
28,40.909,13.613
29,42.424,11.955
30,43.939,8.747
31,45.455,9.209
32,46.970,9.948
33,48.485,11.397
34,50.000,11.390
35,51.515,9.349
36,53.030,9.800
37,54.545,9.621
38,56.061,10.359
39,57.576,8.250
40,59.091,9.566
41,60.606,8.640
42,62.121,8.732
43,63.636,8.908
44,65.152,10.112
45,66.667,10.030
46,68.182,8.705
47,69.697,8.952
48,71.212,9.005
49,72.727,8.610
50,74.242,8.915
51,75.758,9.387
52,77.273,9.590
53,78.788,8.649
54,80.303,9.047
55,81.818,8.524
56,83.333,9.104
57,84.848,9.286
58,86.364,9.060
59,87.879,8.895
60,89.394,8.910
61,90.909,8.638
62,92.424,8.629
63,93.939,8.963
64,95.455,12.574
65,96.970,13.613
66,98.485,9.052
67,100.000,10.493
68,101.515,8.925
69,103.030,7.586
70,104.545,15.414
71,106.061,15.366
72,107.576,14.409
73,109.091,12.872
74,110.606,12.803
75,112.121,13.948
76,113.636,19.047
77,115.152,21.717
78,116.667,19.691
79,118.182,18.804
80,119.697,27.339
81,121.212,25.212
82,122.727,25.101
83,124.242,24.469
84,125.758,26.121
85,127.273,22.591
86,128.788,22.856
87,130.303,27.695
88,131.818,28.065
89,133.333,26.673
90,134.848,26.203
91,136.364,26.813
92,137.879,27.468
93,139.394,28.683
94,140.909,25.020
95,142.424,22.029
96,143.939,25.340
97,145.455,27.622
98,146.970,27.863
99,148.485,22.105
100,150.000,23.219
101,151.515,28.658
102,153.030,26.579
103,154.545,24.202
104,156.061,19.721
105,157.576,20.468
106,159.091,22.613
107,160.606,21.721
108,162.121,21.239
109,163.636,19.872
110,165.152,20.757
111,166.667,20.544
112,168.182,19.851
113,169.697,19.153
114,171.212,19.526
115,172.727,12.079
116,174.242,11.291
117,175.758,16.956
118,177.273,17.542
119,178.788,10.179
120,180.303,9.727
121,181.818,8.797
122,183.333,15.569
123,184.848,13.638
124,186.364,9.365
125,187.879,9.078
126,189.394,10.321
127,190.909,13.582
128,192.424,13.397
129,193.939,8.767
130,195.455,8.414
131,196.970,8.367
132,198.485,8.713
133,200.000,8.620
134,201.515,7.649
135,203.030,7.871
136,204.545,7.764
137,206.061,8.177
138,207.576,8.217
139,209.091,8.135
140,210.606,7.472
141,212.121,7.462
142,213.636,7.631
143,215.152,7.707
