 ,X,Y,Length
1,690,630,3.030
2,688,630,9.091
3,682,630,6.061
4,678,630,3.030
5,676,630,9.091
6,670,630,6.061
7,666,630,9.091
8,660,630,6.061
9,656,630,6.061
10,652,630,6.061
11,648,630,6.061
12,644,630,3.030
13,642,630,6.061
14,638,630,6.061
15,634,630,3.030
16,632,630,6.061
17,628,630,3.030
18,626,630,3.030
19,624,630,3.030
20,622,630,3.030
21,620,630,3.030
22,618,630,3.030
23,616,630,3.030
24,614,630,4.285
25,612,632,3.030
26,610,632,3.030
27,608,632,4.285
28,606,634,3.030
29,604,634,3.030
30,602,634,3.030
31,600,634,3.030
32,598,634,3.030
33,598,636,3.030
34,596,636,3.030
35,594,636,3.030
36,592,636,3.030
37,590,636,3.030
38,590,638,3.030
39,588,638,3.030
40,586,638,3.030
41,584,638,3.030
42,582,638,3.030
43,580,638,3.030
44,578,638,3.030
45,576,638,3.030
46,574,638,4.285
47,572,640,3.030
48,570,640,3.030
49,568,640,3.030
50,566,640,3.030
51,564,640,3.030
52,562,640,3.030
53,560,640,3.030
54,558,640,3.030
55,556,640,3.030
56,554,640,3.030
57,552,640,3.030
58,550,640,3.030
59,548,640,3.030
60,546,640,3.030
61,544,640,3.030
62,542,640,4.285
63,540,642,3.030
64,538,642,6.061
65,534,642,3.030
66,532,642,3.030
67,530,642,3.030
68,528,642,6.061
69,524,642,3.030
70,522,642,3.030
71,520,642,6.061
72,516,642,3.030
73,514,642,3.030
74,512,642,4.285
75,510,644,3.030
76,508,644,3.030
77,506,644,3.030
78,504,644,3.030
79,502,644,3.030
80,500,644,3.030
81,498,644,3.030
82,496,644,3.030
83,494,644,3.030
84,492,644,3.030
85,490,644,3.030
86,490,646,3.030
87,488,646,3.030
88,486,646,3.030
89,484,646,3.030
90,482,646,3.030
91,480,646,3.030
92,478,646,3.030
93,476,646,3.030
94,474,646,3.030
95,472,646,3.030
96,470,646,3.030
97,468,646,3.030
98,466,646,3.030
99,464,646,3.030
100,462,646,3.030
101,460,646,3.030
102,458,646,3.030
103,456,646,3.030
104,454,646,3.030
105,452,646,3.030
106,450,646,3.030
107,448,646,3.030
108,446,646,3.030
109,444,646,3.030
110,442,646,3.030
111,440,646,3.030
112,438,646,3.030
113,436,646,3.030
114,434,646,3.030
115,432,646,3.030
116,430,646,3.030
117,428,646,3.030
118,426,646,3.030
119,424,646,3.030
120,422,646,3.030
121,420,646,3.030
122,418,646,3.030
123,416,646,3.030
124,414,646,3.030
125,412,646,3.030
126,410,646,3.030
127,408,646,3.030
128,406,646,3.030
129,404,646,3.030
130,402,646,3.030
131,400,646,3.030
132,398,646,3.030
133,396,646,3.030
134,394,646,3.030
135,392,646,3.030
136,390,646,3.030
137,388,646,3.030
138,386,646,3.030
139,384,646,4.285
140,382,644,3.030
141,380,644,3.030
142,378,644,3.030
143,376,644,3.030
144,374,644,4.285
145,372,642,3.030
146,370,642,3.030
147,368,642,3.030
148,366,642,3.030
149,366,640,3.030
150,364,640,3.030
151,362,640,3.030
152,362,638,3.030
153,360,638,3.030
154,358,638,3.030
155,356,638,3.030
156,356,636,3.030
157,354,636,3.030
158,354,634,3.030
159,352,634,3.030
160,350,634,4.285
161,348,632,3.030
162,346,632,3.030
163,346,630,3.030
164,344,630,3.030
165,342,630,3.030
166,342,628,3.030
