 ,X,Y,Length
1,276,448,3.030
2,278,448,3.030
3,280,448,4.285
4,282,446,3.030
5,284,446,3.030
6,286,446,3.030
7,288,446,3.030
8,290,446,3.030
9,292,446,3.030
10,294,446,3.030
11,294,444,3.030
12,296,444,3.030
13,298,444,4.285
14,300,442,3.030
15,302,442,3.030
16,304,442,3.030
17,306,442,4.285
18,308,440,3.030
19,310,440,3.030
20,312,440,4.285
21,314,438,3.030
22,316,438,3.030
23,318,438,3.030
24,320,438,4.285
25,322,436,3.030
26,324,436,3.030
27,326,436,3.030
28,326,434,3.030
29,328,434,3.030
30,330,434,3.030
31,332,434,3.030
32,334,434,4.285
33,336,432,3.030
34,338,432,3.030
35,340,432,3.030
36,340,430,3.030
37,342,430,3.030
38,344,430,3.030
39,346,430,4.285
40,348,428,3.030
41,350,428,3.030
42,352,428,4.285
43,354,426,3.030
44,356,426,4.285
45,358,424,3.030
46,360,424,3.030
47,362,424,4.285
48,364,422,3.030
49,366,422,4.285
50,368,420,3.030
51,370,420,4.285
52,372,418,3.030
53,374,418,4.285
54,376,416,3.030
55,378,416,4.285
56,380,414,3.030
57,382,414,3.030
58,382,412,3.030
59,384,412,3.030
60,386,412,3.030
61,386,410,3.030
62,388,410,3.030
63,388,408,3.030
64,390,408,3.030
65,390,406,3.030
66,392,406,3.030
67,394,406,3.030
68,394,404,3.030
69,396,404,3.030
70,396,402,3.030
71,398,402,3.030
72,400,402,3.030
73,400,400,3.030
74,402,400,4.285
75,404,398,3.030
76,406,398,4.285
77,408,396,3.030
78,410,396,4.285
79,412,394,4.285
80,414,392,3.030
81,416,392,3.030
82,416,390,3.030
83,418,390,3.030
84,420,390,4.285
85,422,388,4.285
86,424,386,3.030
87,426,386,3.030
88,426,384,3.030
89,428,384,4.285
90,430,382,3.030
91,432,382,4.285
92,434,380,3.030
93,436,380,3.030
94,436,378,3.030
95,438,378,3.030
96,440,378,3.030
97,440,376,4.285
98,442,374,3.030
99,444,374,3.030
100,444,372,3.030
101,446,372,3.030
102,448,372,3.030
103,448,370,3.030
104,450,370,3.030
105,450,368,3.030
106,452,368,4.285
107,454,366,3.030
108,456,366,4.285
109,458,364,3.030
110,460,364,3.030
111,460,362,3.030
112,462,362,3.030
113,464,362,3.030
114,464,360,3.030
115,466,360,3.030
116,466,358,3.030
117,468,358,3.030
118,470,358,3.030
119,470,356,3.030
120,472,356,3.030
121,472,354,3.030
122,474,354,3.030
123,476,354,3.030
124,476,352,3.030
125,478,352,4.285
126,480,350,3.030
127,482,350,3.030
128,482,348,3.030
129,484,348,4.285
130,486,346,3.030
131,488,346,3.030
132,488,344,3.030
133,490,344,3.030
134,492,344,3.030
135,492,342,3.030
136,494,342,4.285
137,496,340,3.030
138,498,340,4.285
139,500,338,3.030
140,502,338,3.030
