 ,Position,Intensity
1,0.000,8.641
2,1.515,8.792
3,3.030,8.535
4,4.545,8.470
5,6.061,8.399
6,7.576,8.285
7,9.091,8.568
8,10.606,9.007
9,12.121,8.748
10,13.636,8.142
11,15.152,9.677
12,16.667,9.654
13,18.182,8.566
14,19.697,8.049
15,21.212,7.975
16,22.727,7.993
17,24.242,8.667
18,25.758,8.213
19,27.273,7.737
20,28.788,7.431
21,30.303,8.395
22,31.818,7.525
23,33.333,7.581
24,34.848,7.716
25,36.364,7.749
26,37.879,8.298
27,39.394,7.289
28,40.909,7.554
29,42.424,7.625
30,43.939,7.860
31,45.455,7.254
32,46.970,7.321
33,48.485,7.203
34,50.000,7.092
35,51.515,7.070
36,53.030,6.988
37,54.545,6.879
38,56.061,6.884
39,57.576,7.082
40,59.091,7.211
41,60.606,6.995
42,62.121,7.013
43,63.636,7.030
44,65.152,7.455
45,66.667,8.229
46,68.182,7.345
47,69.697,6.844
48,71.212,6.736
49,72.727,6.737
50,74.242,7.449
51,75.758,7.794
52,77.273,7.479
53,78.788,7.654
54,80.303,7.271
55,81.818,7.243
56,83.333,7.546
57,84.848,7.017
58,86.364,7.390
59,87.879,7.318
60,89.394,7.244
61,90.909,6.790
62,92.424,6.600
63,93.939,6.590
64,95.455,6.406
65,96.970,6.521
66,98.485,6.389
67,100.000,6.508
68,101.515,6.465
69,103.030,6.471
70,104.545,6.440
71,106.061,6.520
72,107.576,6.465
73,109.091,6.311
74,110.606,6.396
75,112.121,6.339
76,113.636,6.394
77,115.152,6.341
78,116.667,6.386
79,118.182,6.424
80,119.697,6.563
81,121.212,6.289
82,122.727,6.583
83,124.242,6.625
84,125.758,6.510
85,127.273,6.578
86,128.788,6.783
87,130.303,6.843
88,131.818,6.847
89,133.333,6.914
90,134.848,7.236
91,136.364,6.820
92,137.879,6.876
93,139.394,7.118
94,140.909,7.150
95,142.424,7.087
96,143.939,7.059
97,145.455,7.023
98,146.970,7.199
99,148.485,7.494
100,150.000,6.987
101,151.515,7.261
102,153.030,7.626
103,154.545,7.717
104,156.061,7.889
105,157.576,7.723
106,159.091,7.200
107,160.606,7.291
108,162.121,7.860
109,163.636,7.535
110,165.152,7.808
111,166.667,7.881
112,168.182,8.276
113,169.697,7.966
114,171.212,7.974
115,172.727,7.800
116,174.242,7.693
117,175.758,7.898
118,177.273,7.961
119,178.788,8.240
120,180.303,8.347
121,181.818,8.245
122,183.333,8.312
123,184.848,8.473
124,186.364,8.411
125,187.879,8.294
126,189.394,8.571
127,190.909,8.672
128,192.424,8.444
129,193.939,8.409
130,195.455,8.304
131,196.970,8.500
132,198.485,8.452
133,200.000,8.447
134,201.515,8.324
135,203.030,8.358
136,204.545,8.571
137,206.061,8.500
138,207.576,8.423
139,209.091,8.348
140,210.606,8.317
141,212.121,8.388
142,213.636,8.459
143,215.152,8.735
144,216.667,8.390
145,218.182,8.439
146,219.697,8.636
147,221.212,8.650
148,222.727,8.423
149,224.242,8.248
150,225.758,8.430
151,227.273,8.551
152,228.788,8.373
153,230.303,8.303
154,231.818,8.549
155,233.333,8.654
156,234.848,8.310
157,236.364,8.430
158,237.879,8.360
159,239.394,8.406
160,240.909,8.577
161,242.424,8.370
162,243.939,8.227
163,245.455,8.284
164,246.970,8.409
165,248.485,8.240
166,250.000,8.252
167,251.515,8.186
168,253.030,8.301
169,254.545,8.271
170,256.061,8.248
171,257.576,8.224
172,259.091,8.012
173,260.606,8.287
174,262.121,8.180
175,263.636,8.343
176,265.152,8.086
177,266.667,8.140
178,268.182,8.031
179,269.697,7.955
180,271.212,7.958
181,272.727,8.089
182,274.242,7.991
183,275.758,7.971
184,277.273,7.949
185,278.788,7.654
186,280.303,7.758
187,281.818,7.869
188,283.333,7.970
189,284.848,7.848
190,286.364,7.821
191,287.879,8.197
192,289.394,8.233
193,290.909,7.587
194,292.424,7.718
195,293.939,7.487
196,295.455,7.339
197,296.970,7.331
198,298.485,7.369
199,300.000,7.597
200,301.515,7.570
201,303.030,7.533
202,304.545,7.365
203,306.061,7.244
204,307.576,7.222
205,309.091,14.202
206,310.606,13.832
207,312.121,7.348
208,313.636,7.273
209,315.152,7.192
210,316.667,7.010
211,318.182,7.011
212,319.697,7.062
213,321.212,20.297
214,322.727,6.847
215,324.242,7.729
216,325.758,28.354
217,327.273,10.594
218,328.788,15.407
219,330.303,13.627
220,331.818,6.438
221,333.333,6.894
222,334.848,6.745
223,336.364,31.281
224,337.879,10.422
225,339.394,6.181
226,340.909,6.177
227,342.424,6.386
228,343.939,6.279
229,345.455,6.215
230,346.970,6.168
231,348.485,15.602
232,350.000,6.171
233,351.515,5.955
234,353.030,7.860
235,354.545,8.983
236,356.061,8.556
237,357.576,12.316
238,359.091,18.680
239,360.606,10.792
240,362.121,9.924
241,363.636,8.755
242,365.152,11.059
243,366.667,15.532
244,368.182,18.702
245,369.697,13.614
246,371.212,6.032
247,372.727,12.163
248,374.242,6.076
249,375.758,6.537
250,377.273,10.969
251,378.788,10.489
252,380.303,10.035
253,381.818,11.136
254,383.333,11.842
255,384.848,8.767
256,386.364,10.980
257,387.879,7.014
258,389.394,5.899
259,390.909,10.027
260,392.424,16.473
261,393.939,16.784
262,395.455,7.296
263,396.970,6.054
264,398.485,6.461
265,400.000,6.099
266,401.515,6.201
267,403.030,6.200
268,404.545,5.962
269,406.061,6.137
270,407.576,5.914
271,409.091,5.999
272,410.606,5.797
273,412.121,5.603
274,413.636,5.589
275,415.152,5.847
276,416.667,5.539
277,418.182,5.909
278,419.697,5.817
279,421.212,5.687
280,422.727,5.711
281,424.242,7.663
282,425.758,5.663
283,427.273,5.539
284,428.788,5.569
285,430.303,5.882
286,431.818,5.930
287,433.333,5.742
288,434.848,5.536
289,436.364,5.599
290,437.879,5.565
291,439.394,5.697
292,440.909,6.062
293,442.424,5.950
294,443.939,5.721
295,445.455,5.679
296,446.970,5.722
297,448.485,5.669
298,450.000,5.800
299,451.515,5.959
300,453.030,6.702
301,454.545,5.930
302,456.061,5.683
303,457.576,5.617
304,459.091,5.683
305,460.606,5.570
306,462.121,9.173
307,463.636,6.457
308,465.152,5.852
309,466.667,5.913
310,468.182,5.911
311,469.697,11.688
312,471.212,6.980
313,472.727,13.895
314,474.242,6.415
315,475.758,6.108
316,477.273,5.712
317,478.788,5.764
318,480.303,5.945
319,481.818,6.203
320,483.333,6.041
321,484.848,5.870
322,486.364,12.521
323,487.879,15.516
324,489.394,6.184
325,490.909,6.971
326,492.424,5.920
327,493.939,7.510
328,495.455,6.663
329,496.970,6.950
330,498.485,11.422
331,500.000,15.481
332,501.515,17.113
333,503.030,13.024
334,504.545,10.029
335,506.061,9.370
336,507.576,13.831
337,509.091,17.790
338,510.606,18.320
339,512.121,16.646
340,513.636,28.926
341,515.151,37.814
342,516.667,23.816
343,518.182,9.144
344,519.697,6.358
345,521.212,6.142
346,522.727,6.098
347,524.242,9.611
348,525.758,13.352
349,527.273,19.884
350,528.788,11.250
351,530.303,7.694
352,531.818,7.746
353,533.333,6.675
354,534.849,8.536
355,536.364,26.865
356,537.879,21.408
357,539.394,13.684
358,540.909,8.641
359,542.424,8.173
360,543.939,7.150
361,545.455,6.952
362,546.970,8.246
363,548.485,8.509
364,550.000,8.711
365,551.515,8.786
366,553.030,9.272
367,554.545,6.414
368,556.061,8.437
369,557.576,30.981
370,559.091,28.899
371,560.606,21.595
372,562.121,16.374
373,563.636,16.399
374,565.151,15.136
375,566.667,12.747
376,568.182,11.067
377,569.697,9.133
378,571.212,11.275
379,572.727,11.145
380,574.242,12.889
381,575.758,6.780
382,577.273,16.309
383,578.788,33.561
384,580.303,31.655
385,581.818,35.069
386,583.333,28.235
387,584.849,22.439
388,586.364,14.773
389,587.879,9.606
390,589.394,10.352
391,590.909,37.689
392,592.424,7.981
393,593.939,7.827
394,595.455,6.510
395,596.970,9.372
396,598.485,10.714
397,600.000,11.482
398,601.515,18.314
399,603.030,18.196
400,604.545,10.022
401,606.061,21.481
402,607.576,15.220
403,609.091,14.931
404,610.606,20.029
405,612.121,18.884
406,613.636,12.487
407,615.151,11.726
408,616.667,8.075
409,618.182,19.241
410,619.697,26.954
411,621.212,37.229
412,622.727,25.672
413,624.242,31.725
414,625.758,15.595
415,627.273,14.977
416,628.788,14.727
417,630.303,19.610
418,631.818,16.645
419,633.333,10.278
420,634.849,7.649
