File,Sex,Genotype,Landmark1_X,Landmark1_Y,Landmark1_Z,,Landmark2_X,Landmark2_Y,Landmark2_Z
221118_HandGal4dcrmCherryTripControl_tube1_f1,Virgin,DcrTripControl,660.8,474.95,1454.35,,693.25,224.2,1873.25
221118_HandGal4dcrmCherryTripControl_tube1_f2,Virgin,DcrTripControl,699.15,592.95,1469.1,,663.75,424.8,2109.25
221118_HandGal4dcrmCherryTripControl_tube1_f3,Virgin,DcrTripControl,660.8,584.1,1463.2,,702.1,203.55,1743.45
221118_HandGal4dcrmCherryTripControl_tube1_f4,Virgin,DcrTripControl,755.2,569.35,1563.5,,828.95,362.85,2085.65
221118_HandGal4dcrmCherryTripControl_tube1_f5,Virgin,DcrTripControl,684.4,590,1593,,625.4,274.35,1905.7
221118_HandGal4dcrmCherryTripControl_tube1_m10,Male,DcrTripControl,654.9,693.25,1534,,764.05,634.25,1964.7
221118_HandGal4dcrmCherryTripControl_tube1_m6,Male,DcrTripControl,805.35,433.65,1241.95,,920.4,336.3,1492.7
221118_HandGal4dcrmCherryTripControl_tube1_m7,Male,DcrTripControl,837.8,592.95,1371.75,,973.5,427.75,1690.35
221118_HandGal4dcrmCherryTripControl_tube1_m8,Male,DcrTripControl,722.75,522.15,1253.75,,725.7,321.55,1554.65
221118_HandGal4dcrmCherryTripControl_tube1_m9,Male,DcrTripControl,852.55,598.85,1454.35,,923.35,413,1831.95
221118_HandGal4dcrTraRNAi_tube1_f1,Virgin,DcrTraRNAi,811.25,569.35,1569.4,,784.7,472,2330.5
221118_HandGal4dcrTraRNAi_tube1_f2,Virgin,DcrTraRNAi,666.7,572.3,1531.05,,746.35,280.25,2147.6
221118_HandGal4dcrTraRNAi_tube1_f3,Virgin,DcrTraRNAi,767,533.95,1628.4,,775.85,531,2345.25
221118_HandGal4dcrTraRNAi_tube1_f4,Virgin,DcrTraRNAi,737.5,510.35,1616.6,,817.15,590,2274.45
221118_HandGal4dcrTraRNAi_tube1_f5,Virgin,DcrTraRNAi,814.2,504.45,1513.35,,637.2,445.45,2171.2
221118_HandGal4dcrTraRNAi_tube1_f6,Virgin,DcrTraRNAi,628.35,548.7,1528.1,,705.05,466.1,2014.85
221118_HandGal4dcrTraRNAi_tube1_m10,Male,DcrTraRNAi,693.25,610.65,1466.15,,764.05,536.9,1917.5
221118_HandGal4dcrTraRNAi_tube1_m11,Male,DcrTraRNAi,734.55,699.15,1401.25,,775.85,489.7,1758.2
221118_HandGal4dcrTraRNAi_tube1_m7,Male,DcrTraRNAi,799.45,498.55,1259.65,,873.2,356.95,1554.65
221118_HandGal4dcrTraRNAi_tube1_m8,Male,DcrTraRNAi,840.75,533.95,1336.35,,1014.8,533.95,1793.6
221118_HandGal4dcrTraRNAi_tube1_m9,Male,DcrTraRNAi,710.95,519.2,1280.3,,737.5,359.9,1752.3
221121_HandGal4dcrmCherryTripControl_tube2_f1,Virgin,DcrTripControl,687.35,628.35,1374.7,,330.4,554.6,2227.25
221121_HandGal4dcrmCherryTripControl_tube2_f2,Virgin,DcrTripControl,755.2,551.65,1625.45,,775.85,516.25,2174.15
221121_HandGal4dcrmCherryTripControl_tube2_f3,Virgin,DcrTripControl,790.6,581.15,1536.95,,595.9,309.75,2011.9
221121_HandGal4dcrmCherryTripControl_tube2_f4,Virgin,DcrTripControl,610.65,607.7,1519.25,,551.65,303.85,1905.7
221121_HandGal4dcrmCherryTripControl_tube2_m5,Male,DcrTripControl,843.7,598.85,1241.95,,879.1,362.85,1480.9
221121_HandGal4dcrmCherryTripControl_tube2_m6,Male,DcrTripControl,657.85,595.9,1227.2,,796.5,356.95,1463.2
221121_HandGal4dcrmCherryTripControl_tube2_m7,Male,DcrTripControl,702.1,619.5,1362.9,,649,371.7,1616.6
221121_HandGal4dcrmCherryTripControl_tube2_m8,Male,DcrTripControl,669.65,566.4,1339.3,,643.1,303.85,1560.55
221121_HandGal4dcrmCherryTripControl_tube2_m9,Male,DcrTripControl,799.45,649,1386.5,,734.55,424.8,1625.45
221121_HandGal4dcrTraRNAi_tube2_f1,Virgin,DcrTraRNAi,728.65,492.65,1660.85,,628.35,492.65,2132.85
221121_HandGal4dcrTraRNAi_tube2_f2,Virgin,DcrTraRNAi,696.2,463.15,1483.85,,713.9,421.85,2035.5
221121_HandGal4dcrTraRNAi_tube2_f3,Virgin,DcrTraRNAi,643.1,483.8,1460.25,,489.7,454.3,2115.15
221121_HandGal4dcrTraRNAi_tube2_f4,Virgin,DcrTraRNAi,696.2,613.6,1522.2,,528.05,433.65,2141.7
221121_HandGal4dcrTraRNAi_tube2_m5,Male,DcrTraRNAi,823.05,566.4,1359.95,,1100.35,368.75,1657.9
221121_HandGal4dcrTraRNAi_tube2_m6,Male,DcrTraRNAi,752.25,463.15,1159.35,,604.75,283.2,1525.15
221121_HandGal4dcrTraRNAi_tube2_m7,Male,DcrTraRNAi,758.15,454.3,1348.15,,749.3,401.2,1775.9
221121_HandGal4dcrTraRNAi_tube2_m8,Male,DcrTraRNAi,767,607.7,1424.85,,584.1,404.15,1855.55
